chid,job_attempt_id,subset,purpose,case_kind,batch,parent_case_id,physical_case_id,replicate_id,Q,U,Df,Af_requested_m2,burner_side_requested_m,dx,L,W,H,x_fire,T_end,rnd_seed,sensor_profile,mesh_profile,output_profile,case_group,note,status,required
d_q018_s50_x40_g25_r104729,d_q018_s50_x40_g25_r104729_a01,development,development_offset,fire,D3,d_q018_s50,d_q018_s50_x40,r104729,18,0,5.64189583547756,25,5,0.25,100,10,5,40,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_DEVELOPMENT,G3 D3 offset Q=18 MW side=5 m x=40 m,AUTHORIZED_G3_DEVELOPMENT,yes
d_q018_s50_x60_g25_r104729,d_q018_s50_x60_g25_r104729_a01,development,development_offset,fire,D3,d_q018_s50,d_q018_s50_x60,r104729,18,0,5.64189583547756,25,5,0.25,100,10,5,60,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_DEVELOPMENT,G3 D3 offset Q=18 MW side=5 m x=60 m,AUTHORIZED_G3_DEVELOPMENT,yes
d_q027_s45_x40_g25_r204729,d_q027_s45_x40_g25_r204729_a01,development,development_seed_repeat,fire,D3,d_q027_s45,d_q027_s45_x40,r204729,27,0,5.07770625192981,20.25,4.5,0.25,100,10,5,40,300,204729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_DEVELOPMENT,G3 D3 seed repeat Q=27 MW side=4.5 m x=40 m,AUTHORIZED_G3_DEVELOPMENT,yes
d_q027_s45_x40_g25_r304729,d_q027_s45_x40_g25_r304729_a01,development,development_seed_repeat,fire,D3,d_q027_s45,d_q027_s45_x40,r304729,27,0,5.07770625192981,20.25,4.5,0.25,100,10,5,40,300,304729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_DEVELOPMENT,G3 D3 seed repeat Q=27 MW side=4.5 m x=40 m,AUTHORIZED_G3_DEVELOPMENT,yes
d_q027_s45_x60_g25_r204729,d_q027_s45_x60_g25_r204729_a01,development,development_seed_repeat,fire,D3,d_q027_s45,d_q027_s45_x60,r204729,27,0,5.07770625192981,20.25,4.5,0.25,100,10,5,60,300,204729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_DEVELOPMENT,G3 D3 seed repeat Q=27 MW side=4.5 m x=60 m,AUTHORIZED_G3_DEVELOPMENT,yes
d_q027_s45_x60_g25_r304729,d_q027_s45_x60_g25_r304729_a01,development,development_seed_repeat,fire,D3,d_q027_s45,d_q027_s45_x60,r304729,27,0,5.07770625192981,20.25,4.5,0.25,100,10,5,60,300,304729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_DEVELOPMENT,G3 D3 seed repeat Q=27 MW side=4.5 m x=60 m,AUTHORIZED_G3_DEVELOPMENT,yes
d_q036_s35_x40_g25_r104729,d_q036_s35_x40_g25_r104729_a01,development,development_offset,fire,D3,d_q036_s35,d_q036_s35_x40,r104729,36,0,3.94932708483429,12.25,3.5,0.25,100,10,5,40,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_DEVELOPMENT,G3 D3 offset Q=36 MW side=3.5 m x=40 m,AUTHORIZED_G3_DEVELOPMENT,yes
d_q036_s35_x60_g25_r104729,d_q036_s35_x60_g25_r104729_a01,development,development_offset,fire,D3,d_q036_s35,d_q036_s35_x60,r104729,36,0,3.94932708483429,12.25,3.5,0.25,100,10,5,60,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_DEVELOPMENT,G3 D3 offset Q=36 MW side=3.5 m x=60 m,AUTHORIZED_G3_DEVELOPMENT,yes
d_q036_s50_x40_g25_r104729,d_q036_s50_x40_g25_r104729_a01,development,development_offset,fire,D3,d_q036_s50,d_q036_s50_x40,r104729,36,0,5.64189583547756,25,5,0.25,100,10,5,40,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_DEVELOPMENT,G3 D3 offset Q=36 MW side=5 m x=40 m,AUTHORIZED_G3_DEVELOPMENT,yes
d_q036_s50_x50_g25_r204729,d_q036_s50_x50_g25_r204729_a01,development,development_seed_repeat,fire,D3,d_q036_s50,d_q036_s50_x50,r204729,36,0,5.64189583547756,25,5,0.25,100,10,5,50,300,204729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_DEVELOPMENT,G3 D3 seed repeat Q=36 MW side=5 m x=50 m,AUTHORIZED_G3_DEVELOPMENT,yes
d_q036_s50_x50_g25_r304729,d_q036_s50_x50_g25_r304729_a01,development,development_seed_repeat,fire,D3,d_q036_s50,d_q036_s50_x50,r304729,36,0,5.64189583547756,25,5,0.25,100,10,5,50,300,304729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_DEVELOPMENT,G3 D3 seed repeat Q=36 MW side=5 m x=50 m,AUTHORIZED_G3_DEVELOPMENT,yes
d_q036_s50_x60_g25_r104729,d_q036_s50_x60_g25_r104729_a01,development,development_offset,fire,D3,d_q036_s50,d_q036_s50_x60,r104729,36,0,5.64189583547756,25,5,0.25,100,10,5,60,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_DEVELOPMENT,G3 D3 offset Q=36 MW side=5 m x=60 m,AUTHORIZED_G3_DEVELOPMENT,yes
