time,Tmax_C,T_representative_C,L_back_m,hrr_osc_rel,Tmax_slope_C_per_s,Trep_slope_C_per_s,Lback_slope_m_per_s,enthalpy_rel_drift,enthalpy_flux_criterion,steady_flag
0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
1.0710652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
2.0452636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
3.0224118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
4.0034819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
5.0010686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
6.0042327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
7.0015529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
8.0025619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
9.0059626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
10.003204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
11.000501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
12.002076,204.24425,50.838067,8.932811,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
13.00795,205.842237,55.144744,8.940789,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
14.00765,206.824176,60.622521,8.8378,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
15.000279,222.726474,67.385041,8.865878,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
16.004822,225.931514,72.129776,8.781719,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
17.001849,241.158823,78.81744,8.791516,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
18.00124,259.73093,85.845901,8.704739,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
19.009082,293.280623,97.466666,8.690159,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
20.006795,303.89168,101.661772,8.566342,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
21.003872,308.680328,105.156158,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
22.002968,337.01876,116.232781,13.471484,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
23.006709,352.869993,122.449084,13.485159,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
24.004922,353.699442,126.445467,13.445218,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
25.003759,367.014229,138.217197,13.342032,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
26.003612,373.792961,147.206621,13.243147,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
27.006305,388.669059,153.399682,13.356238,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
28.003588,383.738347,155.021733,13.359725,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
29.001148,390.903443,159.175564,13.406482,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
30.003197,394.173579,164.625934,13.388382,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
31.007109,401.201734,167.310473,13.51589,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
32.003514,393.720401,170.370559,13.579338,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
33.008067,389.651038,173.874261,13.775859,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
34.008029,389.94041,174.700222,13.888203,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
35.00564,381.825874,178.752177,13.973032,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
36.006955,376.426097,182.637844,14.310234,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
37.001078,371.126676,182.899135,14.390464,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
38.006491,367.305851,183.867727,14.747537,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
39.006484,354.977439,184.691608,15.181466,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
40.006757,360.048814,184.067633,15.412018,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
41.001894,359.480759,184.122673,15.519867,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
42.001264,363.716366,183.28268,15.769538,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
43.001379,355.804045,182.275272,18.466271,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
44.007072,354.854016,182.758531,18.841765,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
45.00102,357.715332,182.481887,18.899249,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
46.004629,362.711088,182.211456,19.100771,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
47.005715,362.010141,181.901776,19.353667,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
48.002027,364.194827,180.824353,19.435755,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
49.004665,364.319364,179.711093,19.606333,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
50.007276,368.245071,177.605626,19.920899,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
51.007666,371.598474,176.053551,19.841672,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
52.004663,371.550657,174.13734,17.346884,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
53.003567,373.756984,173.448889,17.076036,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
54.004034,373.917347,171.859308,17.006373,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
55.001288,384.066123,170.599947,19.421742,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
56.001933,387.218841,168.510259,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
57.003176,386.579379,167.210906,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
58.008285,390.131184,166.389978,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
59.003783,394.301855,166.444205,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
60.004489,398.360109,164.591021,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
61.00235,398.989286,164.8844,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
62.006803,398.957916,164.124957,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
63.007334,402.606223,164.406347,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
64.000734,395.788107,164.913233,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
65.00452,396.935186,165.22535,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
66.000043,397.793419,165.454908,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
67.006557,396.397658,166.886406,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
68.006075,395.005295,168.011703,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
69.003864,401.010723,168.68218,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
70.000857,397.810491,170.253835,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
71.006823,387.076714,172.107863,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
72.001458,392.081912,172.428845,0.0,0.284646,2.180131,1.461376,0.170203,NaN,CHECKED_FIELD_PROFILE,0
73.004462,390.423506,173.60212,0.0,0.282618,2.12694,1.422631,0.177661,NaN,CHECKED_FIELD_PROFILE,0
74.003484,386.426015,174.672014,0.0,0.280554,2.069548,1.386939,0.184166,NaN,CHECKED_FIELD_PROFILE,0
